DEVIATION
0.5
9.1
1.4
0.1
2.6
-4.9
2.5
7
0.9
3.1
0.5
0.2
4.8
-2.1
-4.4
1.3
2.3
-6.8
-5.5
-4.8
-1.1
-0.6
-3
5.3
2.5
-3.2
3.4
0.3
-4.8
1.6
-3.5
4.7
-1.5
-1.3
2.7
0.3
-1.9
-5.7
-0.5
-1.7
1
-0.5
3.4
4.6
-1
0.3
1.7
